web-scraper-order,web-scraper-start-url,info-box,info-box-href,name,mbti-evsi,mbti-svsn,mbti-tvsf,mbti-pvsj,enneagram-finder,insticnt-variant
"1615565402-1048","https://www.personality-database.com/personality_type/12","117 / 46   69   29  ENFP7w6Ella Lopez   Lucifer","https://www.personality-database.com/profile/22143/ella-lopez-lucifer-mbti-personality-type","","E","N","F","P","7w6","so/sx"
"1615575584-3961","https://www.personality-database.com/personality_type/1","203 / 97   27   75  ISTJ1w9Artoria Pendragon   Fate/Zero","https://www.personality-database.com/profile/3357/artoria-pendragon-fatezero-mbti-personality-type","","I","S","T","J","1w9","so/sp"
"1615573925-3374","https://www.personality-database.com/personality_type/3","107 / 19   30   25  ISFJ6w7Kabane Kusaka   Kemono Jihen","https://www.personality-database.com/profile/103879/kabane-kusaka-kemono-jihen-mbti-personality-type","","I","S","T","P","6w7","so/sx"
"1615564315-757","https://www.personality-database.com/personality_type/14","535 / 279   193   204  ENTP7w8BoJack Horseman   BoJack Horseman (2014)","https://www.personality-database.com/profile/6928/bojack-horseman-bojack-horseman-2014-mbti-personality-type","","E","N","T","P","7w8","sx/sp"
"1615575719-4006","https://www.personality-database.com/personality_type/1","336 / 134   201   33  ISTJ3w4Jeff Bezos   Business","https://www.personality-database.com/profile/17334/jeff-bezos-business-mbti-personality-type","","I","S","T","J","3w4","sp/so"
"1615562153-150","https://www.personality-database.com/personality_type/16","145 / 43   24   29  ENTJ8w7Ultron   Marvel Cinematic Universe","https://www.personality-database.com/profile/630/ultron-marvel-cinematic-universe-mbti-personality-type","","E","N","T","J","8w7","so/sp"
"1615570962-2392","https://www.personality-database.com/personality_type/7","146 / 82   6   53  ESTP7w8Greed   Fullmetal Alchemist: Brotherhood","https://www.personality-database.com/profile/4623/greed-fullmetal-alchemist-brotherhood-mbti-personality-type","","E","S","T","P","7w8","sx/sp"
"1615572376-2845","https://www.personality-database.com/personality_type/5","131 / 44   40   21  ESFP7w8Drake Parker   Drake & Josh (2004)","https://www.personality-database.com/profile/15244/drake-parker-drake-josh-2004-mbti-personality-type","","E","S","F","P","7w8","sx/sp"
"1615569070-1943","https://www.personality-database.com/personality_type/9","217 / 83   70   90  INFJ1w9Noam Chomsky   Philosophy","https://www.personality-database.com/profile/11666/noam-chomsky-philosophy-mbti-personality-type","","I","N","F","J","1w9","so/sp"
"1615567814-1628","https://www.personality-database.com/personality_type/10","106 / 38   115   2  ENFJ2w3Ekrem İmamoğlu   Government (Middle East)","https://www.personality-database.com/profile/64059/ekrem-mamolu-government-middle-east-mbti-personality-type","","E","N","F","J","2w3","so/sp"
"1615570416-2263","https://www.personality-database.com/personality_type/8","416 / 202   672   179  ISTP6w5Guts   Berserk","https://www.personality-database.com/profile/4203/guts-berserk-mbti-personality-type","","I","S","T","P","6w5","sx/sp"
"1615575362-3877","https://www.personality-database.com/personality_type/1","121 / 45   7   17  ISTJ1w2Seymour Skinner   The Simpsons (1989)","https://www.personality-database.com/profile/1730/seymour-skinner-the-simpsons-1989-mbti-personality-type","","I","S","T","J","1w2","sp/sx"
"1615575246-3830","https://www.personality-database.com/personality_type/1","105 / 49   10   13  ISTJ9w1Karen Filipelli   The Office (US) (2005)","https://www.personality-database.com/profile/17605/karen-filipelli-the-office-us-2005-mbti-personality-type","","I","S","T","J","9w1","sp/so"
"1615563917-644","https://www.personality-database.com/personality_type/14","200 / 68   134   108  ENTP3w2Elizabeth Olsen   Actresses (USA)","https://www.personality-database.com/profile/965/elizabeth-olsen-actresses-usa-mbti-personality-type","","E","N","T","P","3w2","so/sx"
"1615562019-104","https://www.personality-database.com/personality_type/16","111 / 30   6   12  ENTJ6w5Adrian Toomes “Vulture”   Marvel Cinematic Universe","https://www.personality-database.com/profile/6822/adrian-toomes-vulture-marvel-cinematic-universe-mbti-personality-type","","E","N","T","J","6w5","sx/sp"
"1615564722-891","https://www.personality-database.com/personality_type/13","172 / 71   20   61  INTP5w4Sherlock Holmes   Enola Holmes (2020)","https://www.personality-database.com/profile/153089/sherlock-holmes-enola-holmes-2020-mbti-personality-type","","I","N","T","P","5w4","sp/sx"
"1615575529-3940","https://www.personality-database.com/personality_type/1","178 / 101   6   87  ISTJ6w5Kite   Hunter X Hunter","https://www.personality-database.com/profile/7286/kite-hunter-x-hunter-mbti-personality-type","","I","S","T","J","6w5","sp/sx"
"1615574545-3583","https://www.personality-database.com/personality_type/2","75 / 29   4   8  ESTJ3w4Michaela Pratt   How to Get Away With Murder","https://www.personality-database.com/profile/3666/michaela-pratt-how-to-get-away-with-murder-mbti-personality-type","","E","S","T","J","3w4","sx/sp"
"1615563780-609","https://www.personality-database.com/personality_type/14","170 / 66   14   73  ENTP7w6Fleabag   Fleabag","https://www.personality-database.com/profile/36358/fleabag-fleabag-mbti-personality-type","","E","N","T","P","7w6","sx/so"
"1615573823-3337","https://www.personality-database.com/personality_type/3","93 / 27   5   16  ISFJ6w5Asahina Mikuru   Suzumiya Haruhi no Yuuutsu","https://www.personality-database.com/profile/3254/asahina-mikuru-suzumiya-haruhi-no-yuuutsu-mbti-personality-type","","I","S","F","J","6w5","sp/so"
"1615565187-1001","https://www.personality-database.com/personality_type/13","414 / 159   100   147  INTP5w4April Ludgate   Parks and Recreation (2009)","https://www.personality-database.com/profile/66/april-ludgate-parks-and-recreation-2009-mbti-personality-type","","I","N","T","P","5w4","sx/sp"
"1615574566-3592","https://www.personality-database.com/personality_type/2","78 / 27   29   6  ESTJ8w7Hunter Avallone   Social, Cultural & Political Commentators","https://www.personality-database.com/profile/7102/hunter-avallone-social-cultural-political-commentators-mbti-personality-type","","E","S","T","J","8w7","so/sp"
